IdPedido|IdCliente|IdEmpleado|FechaPedido|FechaEntrega|FechaEnvio|FormaEnvio|Cargo|Destinatario|DireccionDestinatario|CiudadDestinatario|RegionDestinatario|CodPostalDestinatario|PaisDestinatario
10324|SAVEA|9|1994-11-08|1994-12-06|1994-11-10|1|214|Save-a-lot Markets|187 Suffolk Ln.|Boise|ID|83720|Estados Unidos
10325|KOENE|1|1994-11-09|1994-11-23|1994-11-14|3|65|Königlich Essen|Maubelstr. 90|Brandenburg||14776|Alemania
10326|BOLID|4|1994-11-10|1994-12-08|1994-11-14|2|78|Bólido Comidas preparadas|C/ Araquil. 67|Madrid||28023|España
10327|FOLKO|2|1994-11-11|1994-12-09|1994-11-14|1|63|Folk och fä HB|Åkergatan 24|Bräcke||S-844 67|Suecia
10328|FURIB|4|1994-11-14|1994-12-12|1994-11-17|3|87|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10329|SPLIR|4|1994-11-15|1994-12-27|1994-11-23|2|192|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|Estados Unidos
10330|LILAS|3|1994-11-16|1994-12-14|1994-11-28|1|13|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10331|BONAP|9|1994-11-16|1994-12-28|1994-11-21|1|10|Bon app'|12. rue des Bouchers|Marseille||13008|Francia
10332|MEREP|3|1994-11-17|1994-12-29|1994-11-21|2|53|Mère Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canadá
10333|WARTH|5|1994-11-18|1994-12-16|1994-11-25|3|1|Wartian Herkku|Torikatu 38|Oulu||90110|Finlandia
10334|VICTE|8|1994-11-21|1994-12-19|1994-11-28|2|9|Victuailles en stock|2. rue du Commerce|Lyon||69004|Francia
10335|HUNGO|7|1994-11-22|1994-12-20|1994-11-24|2|42|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Irlanda
10336|PRINI|7|1994-11-23|1994-12-21|1994-11-25|2|16|Princesa Isabel Vinhos|Estrada da saúde n. 58|Lisboa||1756|Portugal
10337|FRANK|4|1994-11-24|1994-12-22|1994-11-29|3|108|Frankenversand|Berliner Platz 43|München||80805|Alemania
10338|OLDWO|4|1994-11-25|1994-12-23|1994-11-29|3|84|Old World Delicatessen|2743 Bering St.|Anchorage|AK|99508|Estados Unidos
10339|MEREP|2|1994-11-28|1994-12-26|1994-12-05|2|16|Mère Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canadá
10340|BONAP|1|1994-11-29|1994-12-27|1994-12-09|3|166|Bon app'|12. rue des Bouchers|Marseille||13008|Francia
10341|SIMOB|7|1994-11-29|1994-12-27|1994-12-06|3|27|Simons bistro|Vinbæltet 34|København||1734|Dinamarca
10342|FRANK|4|1994-11-30|1994-12-14|1994-12-05|2|55|Frankenversand|Berliner Platz 43|München||80805|Alemania
10343|LEHMS|4|1994-12-01|1994-12-29|1994-12-07|1|110|Lehmanns Marktstand|Magazinweg 7|Frankfurt a.M. ||60528|Alemania
10344|WHITC|4|1994-12-02|1994-12-30|1994-12-06|2|23|White Clover Markets|1029 - 12th Ave. S.|Seattle|WA|98124|Estados Unidos
10345|QUICK|2|1994-12-05|1995-01-02|1994-12-12|2|249|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Alemania
10346|RATTC|3|1994-12-06|1995-01-17|1994-12-09|3|142|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|Estados Unidos
10347|FAMIA|4|1994-12-07|1995-01-04|1994-12-09|3|3|Familia Arquibaldo|Rua Orós. 92|São Paulo|SP|05442-030|Brasil
10348|WANDK|4|1994-12-08|1995-01-05|1994-12-16|2|1|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Alemania
10349|SPLIR|7|1994-12-09|1995-01-06|1994-12-16|1|9|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|Estados Unidos
10350|LAMAI|6|1994-12-12|1995-01-09|1995-01-03|2|64|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|Francia
10351|ERNSH|1|1994-12-12|1995-01-09|1994-12-21|1|162|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10352|FURIB|3|1994-12-13|1994-12-27|1994-12-19|3|1|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10353|PICCO|7|1994-12-14|1995-01-11|1994-12-26|3|361|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10354|PERIC|8|1994-12-15|1995-01-12|1994-12-21|3|54|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|México
10355|AROUT|6|1994-12-16|1995-01-13|1994-12-21|1|42|Around the Horn|Brook FarmStratford St. Mary|Colchester|Essex|CO7 6JX|Reino Unido
10356|WANDK|6|1994-12-19|1995-01-16|1994-12-28|2|37|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Alemania
10357|LILAS|1|1994-12-20|1995-01-17|1995-01-02|3|35|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10358|LAMAI|5|1994-12-21|1995-01-18|1994-12-28|1|20|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|Francia
10359|SEVES|5|1994-12-22|1995-01-19|1994-12-27|3|288|Seven Seas Imports|90 Wadhurst Rd.|London||OX15 4NB|Reino Unido
10360|BLONP|4|1994-12-23|1995-01-20|1995-01-02|3|132|Blondel père et fils|24. place Kléber|Strasbourg||67000|Francia
10361|QUICK|1|1994-12-23|1995-01-20|1995-01-03|2|183|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Alemania
10362|BONAP|3|1994-12-26|1995-01-23|1994-12-29|1|96|Bon app'|12. rue des Bouchers|Marseille||13008|Francia
10363|DRACD|4|1994-12-27|1995-01-24|1995-01-04|3|31|Drachenblut Delikatessen|Walserweg 21|Aachen||52066|Alemania
10364|EASTC|1|1994-12-27|1995-02-07|1995-01-04|1|72|Eastern Connection|35 King George|London||WX3 6FW|Reino Unido
10365|ANTON|3|1994-12-28|1995-01-25|1995-01-02|2|22|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|México
10366|GALED|8|1994-12-29|1995-02-09|1995-01-30|2|10|Galería del gastronómo|Rambla de Cataluña. 23|Barcelona||8022|España
10367|VAFFE|7|1994-12-29|1995-01-26|1995-01-02|3|14|Vaffeljernet|Smagsløget 45|Århus||8200|Dinamarca
10368|ERNSH|2|1994-12-30|1995-01-27|1995-01-02|2|102|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10369|SPLIR|8|1995-01-02|1995-01-30|1995-01-09|2|196|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|Estados Unidos
10370|CHOPS|6|1995-01-03|1995-01-31|1995-01-27|2|1|Chop-suey Chinese|Hauptstr. 31|Bern||3012|Suiza
10371|LAMAI|1|1995-01-03|1995-01-31|1995-01-24|1|0|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|Francia
10372|QUEEN|5|1995-01-04|1995-02-01|1995-01-09|2|891|Queen Cozinha|Alameda dos Canàrios. 891|São Paulo|SP|05487-020|Brasil
10373|HUNGO|4|1995-01-05|1995-02-02|1995-01-11|3|124|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Irlanda
10374|WOLZA|1|1995-01-05|1995-02-02|1995-01-09|3|4|Wolski Zajazd|ul. Filtrowa 68|Warszawa||01-012|Polonia
10375|HUNGC|3|1995-01-06|1995-02-03|1995-01-09|2|20|Hungry Coyote Import Store|City Center Plaza516 Main St.|Elgin|OR|97827|Estados Unidos
10376|MEREP|1|1995-01-09|1995-02-06|1995-01-13|2|20|Mère Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canadá
10377|SEVES|1|1995-01-09|1995-02-06|1995-01-13|3|22|Seven Seas Imports|90 Wadhurst Rd.|London||OX15 4NB|Reino Unido
10378|FOLKO|5|1995-01-10|1995-02-07|1995-01-19|3|5|Folk och fä HB|Åkergatan 24|Bräcke||S-844 67|Suecia
10379|QUEDE|2|1995-01-11|1995-02-08|1995-01-13|1|45|Que Delícia|Rua da Panificadora. 12|Río de Janeiro|RJ|02389-673|Brasil
10380|HUNGO|8|1995-01-12|1995-02-09|1995-02-16|3|35|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Irlanda
10381|LILAS|3|1995-01-12|1995-02-09|1995-01-13|3|8|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10382|ERNSH|4|1995-01-13|1995-02-10|1995-01-16|1|95|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10383|AROUT|8|1995-01-16|1995-02-13|1995-01-18|3|34|Around the Horn|Brook FarmStratford St. Mary|Colchester|Essex|CO7 6JX|Reino Unido
10384|BERGS|3|1995-01-16|1995-02-13|1995-01-20|3|169|Berglunds snabbköp|Berguvsvägen  8|Luleå||S-958 22|Suecia
10385|SPLIR|1|1995-01-17|1995-02-14|1995-01-23|2|31|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|Estados Unidos
10386|FAMIA|9|1995-01-18|1995-02-01|1995-01-25|3|14|Familia Arquibaldo|Rua Orós. 92|São Paulo|SP|05442-030|Brasil
10387|SANTG|1|1995-01-18|1995-02-15|1995-01-20|2|94|Santé Gourmet|Erling Skakkes gate 78|Stavern||4110|Noruega
10388|SEVES|2|1995-01-19|1995-02-16|1995-01-20|1|35|Seven Seas Imports|90 Wadhurst Rd.|London||OX15 4NB|Reino Unido
10389|BOTTM|4|1995-01-20|1995-02-17|1995-01-24|2|47|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canadá
10390|ERNSH|6|1995-01-23|1995-02-20|1995-01-26|1|126|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10391|DRACD|3|1995-01-23|1995-02-20|1995-01-31|3|5|Drachenblut Delikatessen|Walserweg 21|Aachen||52066|Alemania
10392|PICCO|2|1995-01-24|1995-02-21|1995-02-01|3|122|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10393|SAVEA|1|1995-01-25|1995-02-22|1995-02-03|3|127|Save-a-lot Markets|187 Suffolk Ln.|Boise|ID|83720|Estados Unidos
10394|HUNGC|1|1995-01-25|1995-02-22|1995-02-03|3|30|Hungry Coyote Import Store|City Center Plaza516 Main St.|Elgin|OR|97827|Estados Unidos
10395|HILAA|6|1995-01-26|1995-02-23|1995-02-03|1|184|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10396|FRANK|1|1995-01-27|1995-02-10|1995-02-06|3|135|Frankenversand|Berliner Platz 43|München||80805|Alemania
10397|PRINI|5|1995-01-27|1995-02-24|1995-02-02|1|60|Princesa Isabel Vinhos|Estrada da saúde n. 58|Lisboa||1756|Portugal
10398|SAVEA|2|1995-01-30|1995-02-27|1995-02-09|3|89|Save-a-lot Markets|187 Suffolk Ln.|Boise|ID|83720|Estados Unidos
10399|VAFFE|8|1995-01-31|1995-02-14|1995-02-08|3|27|Vaffeljernet|Smagsløget 45|Århus||8200|Dinamarca
10400|EASTC|1|1995-02-01|1995-03-01|1995-02-16|3|84|Eastern Connection|35 King George|London||WX3 6FW|Reino Unido
10401|RATTC|1|1995-02-01|1995-03-01|1995-02-10|1|13|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|Estados Unidos
10402|ERNSH|8|1995-02-02|1995-03-16|1995-02-10|2|68|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10403|ERNSH|4|1995-02-03|1995-03-03|1995-02-09|3|74|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10404|MAGAA|2|1995-02-03|1995-03-03|1995-02-08|1|156|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bérgamo||24100|Italia
10405|LINOD|1|1995-02-06|1995-03-06|1995-02-22|1|35|LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|4980|Venezuela
10406|QUEEN|7|1995-02-07|1995-03-21|1995-02-13|1|108|Queen Cozinha|Alameda dos Canàrios. 891|São Paulo|SP|05487-020|Brasil
10407|OTTIK|2|1995-02-07|1995-03-07|1995-03-02|2|91|Ottilies Käseladen|Mehrheimerstr. 369|Köln||50739|Alemania
10408|FOLIG|8|1995-02-08|1995-03-08|1995-02-14|1|11|Folies gourmandes|184. chaussée de Tournai|Lille||59000|Francia
10409|OCEAN|3|1995-02-09|1995-03-09|1995-02-14|1|30|Océano Atlántico Ltda.|Ing. Gustavo Moncada 8585Piso 20-A|Buenos Aires||1010|Argentina
10410|BOTTM|3|1995-02-10|1995-03-10|1995-02-15|3|2|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canadá
10411|BOTTM|9|1995-02-10|1995-03-10|1995-02-21|3|24|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canadá
10412|WARTH|8|1995-02-13|1995-03-13|1995-02-15|2|4|Wartian Herkku|Torikatu 38|Oulu||90110|Finlandia
10413|LAMAI|3|1995-02-14|1995-03-14|1995-02-16|2|96|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|Francia
10414|FAMIA|2|1995-02-14|1995-03-14|1995-02-17|3|21|Familia Arquibaldo|Rua Orós. 92|São Paulo|SP|05442-030|Brasil
10415|HUNGC|3|1995-02-15|1995-03-15|1995-02-24|1|0|Hungry Coyote Import Store|City Center Plaza516 Main St.|Elgin|OR|97827|Estados Unidos
10416|WARTH|8|1995-02-16|1995-03-16|1995-02-27|3|23|Wartian Herkku|Torikatu 38|Oulu||90110|Finlandia
10417|SIMOB|4|1995-02-16|1995-03-16|1995-02-28|3|70|Simons bistro|Vinbæltet 34|København||1734|Dinamarca
10418|QUICK|4|1995-02-17|1995-03-17|1995-02-24|1|18|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Alemania
10419|RICSU|4|1995-02-20|1995-03-20|1995-03-02|2|137|Richter Supermarkt|Starenweg 5|Genève||1204|Suiza
10420|WELLI|3|1995-02-21|1995-03-21|1995-02-27|1|44|Wellington Importadora|Rua do Mercado. 12|Resende|SP|08737-363|Brasil
10421|QUEDE|8|1995-02-21|1995-04-04|1995-02-27|1|99|Que Delícia|Rua da Panificadora. 12|Río de Janeiro|RJ|02389-673|Brasil
10422|FRANS|2|1995-02-22|1995-03-22|1995-03-03|1|3|Franchi S.p.A.|Via Monte Bianco 34|Torino||10100|Italia
10423|GOURL|6|1995-02-23|1995-03-09|1995-03-27|3|25|Gourmet Lanchonetes|Av. Brasil. 442|Campinas|SP|04876-786|Brasil
10424|MEREP|7|1995-02-23|1995-03-23|1995-02-27|2|371|Mère Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canadá
10425|LAMAI|6|1995-02-24|1995-03-24|1995-03-17|2|8|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|Francia
10426|GALED|4|1995-02-27|1995-03-27|1995-03-09|1|19|Galería del gastronómo|Rambla de Cataluña. 23|Barcelona||8022|España
10427|PICCO|4|1995-02-27|1995-03-27|1995-04-03|2|31|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10428|REGGC|7|1995-02-28|1995-03-28|1995-03-07|1|11|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italia
10429|HUNGO|3|1995-03-01|1995-04-12|1995-03-10|2|57|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Irlanda
10430|ERNSH|4|1995-03-02|1995-03-16|1995-03-06|1|459|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10431|BOTTM|4|1995-03-02|1995-03-16|1995-03-10|2|44|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canadá
10432|SPLIR|3|1995-03-03|1995-03-17|1995-03-10|2|4|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|Estados Unidos
